Price in Rupees,Company,series,color,Full HD,HD,ScreenSize(in cm),FWVGA,Other Displays,RAM,ROM,Expandable,Battery(in mAh),Brand,Model,Main_Camera_MP,Front_Camera_MP,Main_Camera_Count,Front_Camera_Count
8490.0,Vivo,Y91,Starry Black,0,1,15.8,0,0,3.0,32.0,256.0,4030.0,Qualcomm,439,3,8,3,1
4999.0,Kult,Impulse,Blue,0,1,15.21,0,0,3.0,32.0,64.0,4000.0,MTK,6739,3,0,1,0
36999.0,Apple,iPhone,Gold,0,1,11.94,0,0,3.0,32.0,128.0,3050.0,Apple,Apple,2,7,2,1
10439.0,Redmi,Note,Gold,1,1,15.21,0,0,6.0,64.0,128.0,4000.0,Qualcomm,636,2,0,3,1
3999.0,Yu,Ace,Rose Gold,0,1,13.84,0,0,2.0,16.0,128.0,4000.0,Yu,MT6739WW,3,5,2,1
3899.0,Karbonn,Aura,Champagne,0,0,12.7,0,1,1.0,16.0,32.0,4000.0,Mediatek,Mediatek,5,5,2,1
10999.0,Honor,10,Sapphire Blue,1,1,15.77,0,0,4.0,64.0,512.0,3400.0,Honor,Core,3,4,3,1
8499.0,Honor,10,Midnight Black,1,1,15.77,0,0,3.0,32.0,512.0,3400.0,Honor,Core,3,4,3,1
10999.0,Redmi,Y3,Elegant Blue,0,1,15.9,0,0,4.0,64.0,512.0,4000.0,Qualcomm,632,2,2,3,1
19990.0,Vivo,V15,Topaz Blue,1,1,16.23,0,0,6.0,128.0,256.0,3700.0,Qualcomm,0GHz,8,2,4,1
8380.0,Redmi,Y3,Prime Black,0,1,15.9,0,0,3.0,32.0,512.0,4000.0,Qualcomm,632,2,2,3,1
10799.0,Mi,A2,Red,1,1,15.21,0,0,3.0,32.0,128.0,3010.0,Qualcomm,AIE,0,0,3,1
12999.0,Redmi,Note,Nebula Red,1,1,16.0,0,0,6.0,64.0,256.0,4000.0,Qualcomm,675,8,3,3,1
10999.0,Realme,2,Blue Ocean,1,1,16.0,0,0,6.0,64.0,256.0,3500.0,Qualcomm,AIE,6,6,3,1
27990.0,Vivo,V17Pro,Midnight Ocean Black,1,1,16.36,0,0,3.0,32.0,128.0,4100.0,Qualcomm,AIE,8,0,6,0
4999.0,Kult,Impulse,Black,0,1,15.21,0,0,3.0,32.0,64.0,4000.0,MTK,6739,3,0,1,0
13990.0,Vivo,Y19,Spring White,1,1,16.59,0,0,4.0,128.0,256.0,5000.0,Vivo,P65,6,6,4,1
9499.0,Moto,G7,Black,1,1,15.75,0,0,4.0,64.0,512.0,3000.0,Qualcomm,632,2,8,3,1
15990.0,Vivo,S1,Diamond Black,1,1,16.21,0,0,4.0,128.0,256.0,4500.0,Vivo,Vivo,6,2,4,1
17990.0,Vivo,S1,Diamond Black,1,1,16.21,0,0,6.0,64.0,256.0,4500.0,Vivo,Vivo,6,2,4,1
17990.0,Vivo,S1,Skyline Blue,1,1,16.21,0,0,6.0,128.0,256.0,4500.0,Vivo,Vivo,6,2,4,1
15990.0,Vivo,S1,Skyline Blue,1,1,16.21,0,0,4.0,128.0,256.0,4500.0,Vivo,Vivo,6,2,4,1
9499.0,Asus,ZenFone,Black,0,1,15.9,0,0,3.0,32.0,128.0,4000.0,Qualcomm,Core,3,8,3,1
9999.0,Honor,9N,Midnight Black,0,0,14.83,0,1,4.0,128.0,256.0,3000.0,Honor,Core,3,6,3,1
4999.0,Kult,Impulse,Blue,0,1,15.21,0,0,3.0,32.0,64.0,4000.0,MTK,6739,3,0,1,0
7999.0,Honor,9N,Sapphire Blue,0,0,14.83,0,1,3.0,32.0,256.0,3000.0,Honor,Core,3,6,3,1
19999.0,Redmi,K20,Flame Red,1,1,16.23,0,0,3.0,32.0,128.0,4000.0,Qualcomm,730,8,0,4,1
12899.0,Mi,A3,Kind of Grey,0,1,15.44,0,0,4.0,64.0,256.0,4030.0,Qualcomm,core,8,2,3,1
15990.0,OPPO,A9,Marine Green,0,0,16.51,0,1,3.0,32.0,128.0,5000.0,Qualcomm,SM6125,8,6,5,1
3899.0,Karbonn,Aura,Champagne,0,0,12.7,0,1,1.0,16.0,32.0,4000.0,Mediatek,Mediatek,5,5,2,1
28999.0,Redmi,K20,Glacier Blue,1,1,16.23,0,0,3.0,32.0,128.0,4000.0,Qualcomm,855,8,0,4,1
4999.0,Kult,Impulse,Black,0,1,15.21,0,0,3.0,32.0,64.0,4000.0,MTK,6739,3,0,1,0
10999.0,Lenovo,K10,Sprite,0,1,15.8,0,0,3.0,32.0,128.0,4050.0,Qualcomm,SDM632,3,6,4,1
9990.0,OPPO,A3s,Red,0,1,15.75,0,0,4.0,64.0,256.0,4230.0,Qualcomm,450,3,8,3,1
18999.0,POCO,F1,Steel Blue,1,1,15.7,0,0,8.0,256.0,256.0,4000.0,Qualcomm,845,2,0,3,1
17990.0,Vivo,S1,Skyline Blue,1,1,16.21,0,0,6.0,64.0,256.0,4500.0,Vivo,Vivo,6,2,4,1
5575.0,Redmi,6A,Black,0,1,13.84,0,0,2.0,32.0,128.0,3000.0,Redmi,Mediateck,3,0,1,0
10990.0,OPPO,A5s,Green,0,1,15.75,0,0,4.0,64.0,256.0,4230.0,MTK,MT6765,3,8,3,1
10990.0,OPPO,A5s,Gold,0,1,15.75,0,0,4.0,64.0,256.0,4230.0,MTK,MT6765,3,8,3,1
4999.0,Kult,Impulse,Blue,0,1,15.21,0,0,3.0,32.0,64.0,4000.0,MTK,6739,3,0,1,0
8490.0,OPPO,A5s,Black,0,1,15.75,0,0,2.0,32.0,256.0,4230.0,MTK,MT6765,3,8,3,1
6490.0,Vivo,Y90,Black,0,1,15.8,0,0,2.0,16.0,256.0,4030.0,MediaTek,A22,8,5,2,1
8990.0,OPPO,A5s,Blue,0,1,15.75,0,0,3.0,32.0,256.0,4230.0,MTK,MT6765,3,8,3,1
8990.0,OPPO,A5s,Black,0,1,15.75,0,0,3.0,32.0,256.0,4230.0,MTK,MT6765,3,8,3,1
6490.0,Vivo,Y90,Gold,0,1,15.8,0,0,2.0,16.0,256.0,4030.0,MediaTek,A22,8,5,2,1
3899.0,Karbonn,Aura,Champagne,0,0,12.7,0,1,1.0,16.0,32.0,4000.0,Mediatek,Mediatek,5,5,2,1
8490.0,OPPO,A5s,Blue,0,1,15.75,0,0,2.0,32.0,256.0,4230.0,MTK,MT6765,3,8,3,1
8490.0,OPPO,A5s,Red,0,1,15.75,0,0,2.0,32.0,256.0,4230.0,MTK,MT6765,3,8,3,1
49900.0,Apple,iPhone,Black,0,0,15.49,0,1,3.0,32.0,128.0,3050.0,Apple,Apple,2,7,2,1
3390.0,Karbonn,K9,Black Sandstone/Black Gold,0,0,12.7,0,1,1.0,8.0,8.0,2300.0,Karbonn,1GHz,5,0,1,0
12999.0,Realme,2,Blue Ocean,1,1,16.0,0,0,8.0,128.0,256.0,3500.0,Qualcomm,AIE,6,6,3,1
15988.0,Mi,A3,Kind of Grey,0,1,15.44,0,0,6.0,128.0,256.0,4030.0,Qualcomm,core,8,2,3,1
19999.0,Samsung,Galaxy,Prism Crush Violet,1,1,16.26,0,0,3.0,32.0,128.0,4000.0,Exynos,9611,8,2,4,1
15999.0,Huawei,Y9,Sapphire Blue,1,1,16.74,0,0,3.0,32.0,128.0,4000.0,HiSilicon,NPU,6,6,4,1
10799.0,Mi,A2,Red,1,1,15.21,0,0,3.0,32.0,128.0,3010.0,Qualcomm,AIE,0,0,3,1
15999.0,Huawei,Y9,Emerald Green,1,1,16.74,0,0,3.0,32.0,128.0,4000.0,HiSilicon,NPU,6,6,4,1
12999.0,Realme,2,Black Sea,1,1,16.0,0,0,8.0,128.0,256.0,3500.0,Qualcomm,AIE,6,6,3,1
13990.0,OPPO,A5,Mirror Black,0,0,16.51,0,1,3.0,32.0,128.0,5000.0,Qualcomm,SM6125,2,8,4,1
4999.0,Kult,Impulse,Black,0,1,15.21,0,0,3.0,32.0,64.0,4000.0,MTK,6739,3,0,1,0
36990.0,OnePlus,7T,Glacier Blue,0,0,16.64,0,1,3.0,32.0,128.0,3800.0,Qualcomm,Plus,6,6,1,1
39999.0,OnePlus,7T,Glacier Blue,0,0,16.64,0,1,3.0,32.0,128.0,3800.0,Qualcomm,Plus,6,6,1,1
